"archivo","ubicacion","codigo_postal","localidad","telefono_tienda","fecha","hora","op","factura_simplificada","importe_total","N.C","AID","AUT","ARC","tipos_iva"
"20241026 Mercadona 20,99 Ôé¼.pdf","C/ RÍO ESCALONA 25","46023","VALENCIA","963375194","26/10/2024","12:37","1612017","2720-022-192578","20,99","098101942","A0000000041010","048680","00","2%, 21%"
"20241026 Mercadona 46,72 Ôé¼.pdf","C/ VALENCIA S/N","03178","BENIJOFAR","966713008","26/10/2024","19:41","3809553","3095-016-213578","46,72","047072319","A0000000041010","463804","00","2%, 10%, 21%"
"20241026 Mercadona 7,59 .pdf","C/ PINTOR PERIS ARAGÓ 34","46120","ALBORAIA/ALBORAYA","961204862","26/10/2024","12:21","321080","4523-014-107613","7,59","036426237","A0000000041010","066894","00","10%, 21%"
"20241030 Mercadona 18,91 Ôé¼.pdf","C/ MENORCA (C.C. AQUA) 19","46023","VALENCIA","963319378","30/10/2024","11:09","2959660","3075-015-469818","18,91","077763746","A0000000041010","365452","00","2%, 10%"
"20241030 Mercadona 23,51 Ôé¼.pdf","C/ QUART 120","46008","VALENCIA","963824500","30/10/2024","17:40","1001649","2502-010-620822","23,51","098101017","A0000000031010","107041","00","2%, 5%, 10%"
"20241030 Mercadona 47,59 .pdf","C/ PINTOR PERIS ARAGÓ 34","46120","ALBORAIA/ALBORAYA","961204862","30/10/2024","14:25","996472","4523-021-532662","47,59","036426237","A0000000041010","574781","00","2%, 10%, 21%"
"20241106 Mercadona 22,71 Ôé¼.pdf","C/ MENORCA (C.C. AQUA) 19","46023","VALENCIA","963319378","06/11/2024","21:00","973863","3075-010-840211","22,71","077763746","A0000000041010","598088","00","2%, 10%"
"20241106 Mercadona 57,01 .pdf","C/ PINTOR PERIS ARAGÓ 34","46120","ALBORAIA/ALBORAYA","961204862","06/11/2024","19:15","1335279","4523-016-335109","57,01","036426237","A0000000041010","151953","00","2%, 4%, 10%, 21%"
"20241109 Mercadona 45,72 Ôé¼.pdf","C/ PINTOR MAELLA 3","46023","VALENCIA","962564516","09/11/2024","13:02","3845094","3957-011-263555","45,72","047199765","A0000000041010","166577","00","2%, 10%"
"20241114 Mercadona 27,52 Ôé¼.pdf","C/ MENORCA (C.C. AQUA) 19","46023","VALENCIA","963319378","14/11/2024","16:29","3101252","3075-010-845309","27,52","077763746","A0000000041010","572897","00","2%, 21%"
"20241116 Mercadona 37,38 Ôé¼.pdf","PLAZA FRANCISCA NAVARRO 8","46100","BURJASSOT","963635840","16/11/2024","16:46","3737085","2448-020-712206","37,38","098101330","A0000000041010","517405","00","2%, 10%, 21%"
"20241121 Mercadona 11,98 .pdf","C/ PINTOR PERIS ARAGÓ 34","46120","ALBORAIA/ALBORAYA","961204862","21/11/2024","16:11","4025175","4523-016-342805","11,98","036426237","A0000000041010","105853","00","2%, 10%, 21%"
"20241122 Mercadona 19,70 .pdf","C/ PINTOR PERIS ARAGÓ 34","46120","ALBORAIA/ALBORAYA","961204862","22/11/2024","17:43","675697","4523-019-104827","19,70","036426237","A0000000041010","434753","00","2%, 10%, 21%"
"20241122 Mercadona 4,39 .pdf","C/ PINTOR PERIS ARAGÓ 34","46120","ALBORAIA/ALBORAYA","961204862","22/11/2024","18:04","481195","4523-015-509484","4,39","036426237","A0000000041010","045353","00","10%"
"20241123 Mercadona 38,25 Ôé¼.pdf","PLAZA FRANCISCA NAVARRO 8","46100","BURJASSOT","963635840","23/11/2024","14:49","581284","2448-022-439164","38,25","098101330","A0000000041010","972549","00","2%, 10%, 21%"
"20241125 Mercadona 28,60 Ôé¼.pdf","C/ MENORCA (C.C. AQUA) 19","46023","VALENCIA","963319378","25/11/2024","19:52","675940","3075-015-476068","28,60","077763746","A0000000041010","175823","00","2%, 10%, 21%"
"20241126 Mercadona 18,64 Ôé¼.pdf","C/ ELVIRA BOSCH S/N","46230","ALGINET","961349976","26/11/2024","18:23","2157331","4683-010-163263","18,64","038399853","A0000000031010","034547","00","2%, 5%, 10%, 21%"
"20241126 Mercadona 6,25 .pdf","C/ PINTOR PERIS ARAGÓ 34","46120","ALBORAIA/ALBORAYA","961204862","26/11/2024","16:11","481195","4523-016-345184","6,25","036426237","A0000000041010","113153","00","2%, 10%"
"20241127 Mercadona 45,94.pdf","C/ QUART 120","46008","VALENCIA","963824500","27/11/2024","20:51","461428","2502-015-154069","45,94","098101017","A0000000041010","499761","00","2%, 5%, 10%"
"20241127 Mercadona 80,01 .pdf","C/ PINTOR PERIS ARAGÓ 34","46120","ALBORAIA/ALBORAYA","961204862","27/11/2024","19:34","683056","4523-014-110371","80,01","036426237","A0000000041010","343353","00","2%, 5%, 10%, 21%"
"20241128 Mercadona 20,42 Ôé¼.pdf","C/ MENORCA (C.C. AQUA) 19","46023","VALENCIA","963319378","28/11/2024","20:29","3604887","3075-012-102718","20,42","077763746","A0000000041010","547434","00","2%, 10%, 21%"
"20241129 Mercadona 17,32 .pdf","C/ PINTOR PERIS ARAGÓ 34","46120","ALBORAIA/ALBORAYA","961204862","29/11/2024","21:24","4132106","4523-014-110533","17,32","036426237","A0000000041010","240953","00","2%, 10%"
"20241130 Mercadona 14,56 .pdf","C/ PINTOR PERIS ARAGÓ 34","46120","ALBORAIA/ALBORAYA","961204862","30/11/2024","12:53","4025175","4523-012-111564","14,56","036426237","A0000000041010","534253","00","2%, 10%, 21%"
"20241130 Mercadona 39,75 Ôé¼.pdf","PLAZA FRANCISCA NAVARRO 8","46100","BURJASSOT","963635840","30/11/2024","16:06","4058769","2448-023-360325","39,75","098101330","A0000000041010","262585","00","2%, 10%, 21%"
"20241203 Mercadona 42,44.pdf","C/ QUART 120","46008","VALENCIA","963824500","03/12/2024","14:50","3935778","2502-015-156925","42,44","098101017","A0000000041010","242685","00","2%, 10%"
"20241204 Mercadona 23,76 .pdf","C/ PINTOR PERIS ARAGÓ 34","46120","ALBORAIA/ALBORAYA","961204862","04/12/2024","09:34","4132106","4523-015-512841","23,76","036426237","A0000000041010","343753","00","2%, 10%, 21%"
"20241209 Mercadona 35,61 Ôé¼.pdf","PLAZA FRANCISCA NAVARRO 8","46100","BURJASSOT","963635840","09/12/2024","11:59","3458598","2448-022-443803","35,61","098101330","A0000000041010","948388","00","2%, 5%, 10%"
"20241209 Mercadona 37,26 Ôé¼.pdf","C/ QUART 120","46008","VALENCIA","963824500","09/12/2024","14:05","3646731","2502-010-641909","37,26","098101017","A0000000031010","754101","00","2%, 10%, 21%"
"20241209 Mercadona 54,34.pdf","C/ QUART 120","46008","VALENCIA","963824500","09/12/2024","13:31","1471877","2502-015-159203","54,34","098101017","A0000000041010","865264","00","2%, 5%, 10%"
"20241210 Mercadona 33,48 .pdf","C/ PINTOR PERIS ARAGÓ 34","46120","ALBORAIA/ALBORAYA","961204862","10/12/2024","19:05","1272722","4523-021-555014","33,48","036426237","A0000000041010","052953","00","2%, 10%, 21%"
"20241211 Mercadona 11,84.pdf","C/ QUART 120","46008","VALENCIA","963824500","11/12/2024","20:23","477060","2502-015-160811","11,84","098101017","A0000000041010","388599","00","2%, 10%"
"20241211 Mercadona 76,15 Ôé¼.pdf","C/ MANUEL CANDELA 16","46021","VALENCIA","961624385","11/12/2024","14:01","4106531","4583-010-314084","76,15","034903138","A0000000041010","495159","00","2%, 10%, 21%"
"20241213 Mercadona 46,08.pdf","C/ QUART 120","46008","VALENCIA","963824500","13/12/2024","19:59","3646731","2502-015-162083","46,08","098101017","A0000000041010","760488","00","2%, 10%"
"20241214 Mercadona 24,17.pdf","C/ QUART 120","46008","VALENCIA","963824500","14/12/2024","13:25","3935778","2502-014-148778","24,17","098101017","A0000000041010","532910","00","2%, 10%, 21%"
"20241214 Mercadona 38,68 Ôé¼.pdf","PLAZA FRANCISCA NAVARRO 8","46100","BURJASSOT","963635840","14/12/2024","15:41","401335","2448-022-446083","38,68","098101330","A0000000041010","459787","00","2%, 10%, 21%"
"20241217 Mercadona 20,28 Ôé¼.pdf","C/ QUART 120","46008","VALENCIA","963824500","17/12/2024","20:51","547888","2502-010-646868","20,28","098101017","A0000000031010","810152","00","2%, 10%"
"20241217 Mercadona 30,75 .pdf","C/ PINTOR PERIS ARAGÓ 34","46120","ALBORAIA/ALBORAYA","961204862","17/12/2024","20:05","481195","4523-015-517057","30,75","036426237","A0000000041010","050453","00","2%, 5%, 10%, 21%"
"20241220 Mercadona 38,09.pdf","C/ QUART 120","46008","VALENCIA","963824500","20/12/2024","19:59","4086401","2502-014-150569","38,09","098101017","A0000000041010","579587","00","2%, 10%"
"20241220 Mercadona 8,61 .pdf","C/ PINTOR PERIS ARAGÓ 34","46120","ALBORAIA/ALBORAYA","961204862","20/12/2024","11:35","321080","4523-019-111192","8,61","036426237","A0000000041010","345753","00","2%, 21%"
"20241221 Mercadona 26,27 Ôé¼.pdf","PLAZA FRANCISCA NAVARRO 8","46100","BURJASSOT","963635840","21/12/2024","14:38","3737085","2448-021-303874","26,27","098101330","A0000000041010","810829","00","2%, 5%, 10%, 21%"
"20241221 Mercadona 40,53.pdf","C/ QUART 120","46008","VALENCIA","963824500","21/12/2024","13:02","4130302","2502-012-493943","40,53","098101017","A0000000041010","957570","00","2%, 5%, 10%"
"20241224 Mercadona 3,08 Ôé¼.pdf","C/ MARÍA VILLANGÓMEZ 4","07840","SANTA EULÀRIA DES RIU","871901830","24/12/2024","14:52","4133514","4301-010-699320","3,08","049044936","A0000000041010","450089","00","10%"
