"Descripcion","P.Unit","Peso","Importe","Tipo_peso","factura_simplificada"
"ARROZ J.SENDRA                       ",1.54,NA,NA,NA,"4523-019-070987"
"TONICA ZERO H-8",7.52,NA,NA,NA,"4523-019-070987"
"SERVILLETA 2 CAPAS",1.4,NA,NA,NA,"4523-019-070987"
"TOMATE TRITURADO",0.98,NA,NA,NA,"4523-019-070987"
"PATATA",1.99,1.93,3.84,"Verdura y Frutas","4523-019-070987"
"TOMATE ENSALADA",1.75,1.412,2.47,"Verdura y Frutas","4523-019-070987"
"LECHE DESN S/LACT",5.28,NA,NA,NA,"3095-012-330410"
"TOA.BEBE FRESCAS 240",3,NA,NA,NA,"3095-012-330410"
"ATÚN CLARO OLIVA PK6",5.25,NA,NA,NA,"3095-012-330410"
"MULTIUSOS",2.55,NA,NA,NA,"3095-012-330410"
"DOCHI BANOFFEE",3,NA,NA,NA,"3095-012-330410"
"VALENCIANA",2.5,NA,NA,NA,"3095-012-330410"
"JAMON S. EXTRA FINO",2.45,NA,NA,NA,"3095-012-330410"
"PATATAS EXTRACRUNCH",1.3,NA,NA,NA,"3095-012-330410"
"QUESO OVEJA SEMI",3.67,NA,NA,NA,"3095-012-330410"
"PIÑA UVA P-6",1.4,NA,NA,NA,"3095-012-330410"
"ICEBERG",0.99,NA,NA,NA,"3095-012-330410"
"PAN DE ESPIGA",1,NA,NA,NA,"3095-012-330410"
"CEBOLLA TIERNA                     ",1.29,NA,NA,NA,"3095-012-330410"
"CEBOLLA TIERNA                     ",1.29,NA,NA,NA,"3095-012-330410"
"PAN DE PUEBLO",1.6,NA,NA,NA,"3095-012-330410"
"PEPINO",1.45,0.652,0.95,"Verdura y Frutas","3095-012-330410"
"BANANA",1.45,0.936,1.36,"Verdura y Frutas","3095-012-330410"
"PARAGUAYO",3.79,0.594,2.25,"Verdura y Frutas","3095-012-330410"
"MANZANA GOLDEN",2.09,1.216,2.54,"Verdura y Frutas","3095-012-330410"
"LECHE DESNAT. CALCIO                ",0.93,NA,NA,NA,"3075-012-023681"
"LECHE DESNAT. CALCIO                ",0.93,NA,NA,NA,"3075-012-023681"
"LECHE DESNAT. CALCIO                ",0.93,NA,NA,NA,"3075-012-023681"
"COPOS DE AVENA",1.35,NA,NA,NA,"3075-012-023681"
"FILETE PECHUGA",4.59,NA,NA,NA,"3075-012-023681"
"PIZZA JAMON/QUESO",3.4,NA,NA,NA,"3075-012-023681"
"PORCIONES BACALAO",7.2,NA,NA,NA,"3075-012-023681"
"PORCIONES 85% CACAO",3.2,NA,NA,NA,"3075-012-023681"
"GALL. MARIA INTEGRAL",1.6,NA,NA,NA,"3075-012-023681"
"VIRGEN EXTRA 500",7.85,NA,NA,NA,"3075-012-023681"
"PAN TOST INT ESPELTA",1.65,NA,NA,NA,"3075-012-023681"
"BOLSA BASURA COMPOST",1.75,NA,NA,NA,"3075-012-023681"
"Nº 660 GRANAT GEL",2.65,NA,NA,NA,"3075-012-023681"
"ARÁNDANOS",1.97,NA,NA,NA,"3075-012-023681"
"12 HUEVOS GRANDES-L",2.2,NA,NA,NA,"3075-012-023681"
"ANITINES PIZZA",0.9,NA,NA,NA,"4523-013-075234"
"T.CHERRY 500 GR",1.9,NA,NA,NA,"4523-013-075234"
"ANITINES TOM/OREGANO",0.9,NA,NA,NA,"4523-013-075234"
"LONGANIZA MAGRO FRES",3.45,NA,NA,NA,"4523-013-075234"
"PECH EMPANADA S/G",3.79,NA,NA,NA,"4523-013-075234"
"SOLAR INFANTIL 100ML",3.8,NA,NA,NA,"4523-013-075234"
"LCASEI FRESA X 12",2.35,NA,NA,NA,"4523-013-075234"
"6 HUEVOS CAMPEROS",1.59,NA,NA,NA,"4523-013-075234"
"STICKS SALAMI",1.1,NA,NA,NA,"4523-013-075234"
"JAMÓN COCIDO 92%",2.41,NA,NA,NA,"4523-013-075234"
"SALCHICHON 4PACK",2.11,NA,NA,NA,"4523-013-075234"
"MELOCOTON AMARILLO",3.99,0.314,1.25,"Verdura y Frutas","4523-013-075234"
"QUESO ROQUEFORT",1.75,NA,NA,NA,"3075-014-414192"
"C. POLLO 100% NAT",2.2,NA,NA,NA,"3075-014-414191"
"LENTEJA COCIDA",0.8,NA,NA,NA,"3075-014-414191"
"AZÚCAR MORENO 1KG",1.95,NA,NA,NA,"3075-014-414191"
"HARINA DE TRIGO.",0.7,NA,NA,NA,"3075-014-414191"
"QUESO FRESCO CABRA",2.6,NA,NA,NA,"3075-014-414191"
"BURRATA",2.2,NA,NA,NA,"3075-014-414191"
"GUISANTES MUY TIERNO",1.01,NA,NA,NA,"3075-014-414191"
"FRÍA PIÑA-COCO",1.45,NA,NA,NA,"3075-014-414191"
"AGUACATE BANDEJA",2.95,NA,NA,NA,"3075-014-414191"
"DOCHI BANOFFEE",3,NA,NA,NA,"3075-014-414191"
"DOCHI CHEESECAKE",3,NA,NA,NA,"3075-014-414191"
"PAVO TACOS",4.82,NA,NA,NA,"3075-014-414191"
"CUELLOS DE POLLO",1.06,NA,NA,NA,"3075-014-414191"
"MOZZARELLA FRESCA                    ",0.95,NA,NA,NA,"3075-014-414191"
"MOZZARELLA FRESCA                    ",0.95,NA,NA,NA,"3075-014-414191"
"CONTRAMUSLO DESHUESA",4.03,NA,NA,NA,"3075-014-414191"
"MUSLO DESHUESADO",2.43,NA,NA,NA,"3075-014-414191"
"ENDIBIA",1.27,NA,NA,NA,"3075-014-414191"
"PATATAS EXTRACRUNCH",1.3,NA,NA,NA,"3075-014-414191"
"GEL LAV. MAQUI.",3.95,NA,NA,NA,"4523-021-456606"
"PANECILLO 11 UDS",1.1,NA,NA,NA,"4523-021-456606"
"PAN ACEITE DE OLIVA",0.6,NA,NA,NA,"4523-021-456606"
"FUET ESPETEC EXTRA",2.57,NA,NA,NA,"4523-021-456606"
"KÉFIR                              ",1.3,NA,NA,NA,"4523-021-456606"
"KÉFIR                              ",1.3,NA,NA,NA,"4523-021-456606"
"KÉFIR                              ",1.3,NA,NA,NA,"4523-021-456606"
"BOLSA PLASTICO",0.15,NA,NA,NA,"4523-021-456606"
"ARROZ BASMATI",2.44,NA,NA,NA,"2457-013-550829"
"SPAGHETTI AL HUEVO",1.35,NA,NA,NA,"2457-013-550829"
"BANANA",1.45,1.208,1.75,"Verdura y Frutas","2457-013-550829"
"HORCHATA FRESCA                     ",2,NA,NA,NA,"4523-019-073463"
"HORCHATA FRESCA                     ",2,NA,NA,NA,"4523-019-073463"
"MELOCOTON S/AZ",1,NA,NA,NA,"4523-019-073463"
"BOLSA PLASTICO",0.15,NA,NA,NA,"4523-019-073463"
"PIÑA S/AZ AÑADIDO",0.9,NA,NA,NA,"4523-019-073463"
"CREMA DEPIL DUCHA",3,NA,NA,NA,"4523-019-073463"
"ZUMO DE NARANJA EXPR",1.75,NA,NA,NA,"4523-019-073463"
"TORTILLAS MEXICANAS",1.3,NA,NA,NA,"4523-019-073463"
"QUESO RALLADO PIZZA",1.54,NA,NA,NA,"4523-019-073463"
"12 HUEVOS CAMPEROS",2.62,NA,NA,NA,"4523-019-073463"
"UVA BLANCA S/SEM",2.5,NA,NA,NA,"4523-019-073463"
"ATÚN CLARO OLIVA PK6",5.25,NA,NA,NA,"4523-019-073463"
"SOBRASADA IBÉRICA",2.25,NA,NA,NA,"4523-019-073463"
"BODY DEPIL 3 HOJAS",2.15,NA,NA,NA,"4523-019-073463"
"TOALLITA DESMAQ.SEC.",1.15,NA,NA,NA,"4523-019-073463"
"JAMÓN COCIDO 92%",2.41,NA,NA,NA,"4523-019-073463"
"RITUAL LISS&FRIZZ",2.75,NA,NA,NA,"4523-019-073463"
"MOUSSE PATO NATURAL",1.9,NA,NA,NA,"4523-019-073463"
"QUESO GORGONZOLA",2.51,NA,NA,NA,"4523-019-073463"
"BLUSH SATÍN 3",4.85,NA,NA,NA,"4523-019-073463"
"FIT ME 115",7,NA,NA,NA,"4523-019-073463"
"CORRECTOR HYDRA-VI 1",5,NA,NA,NA,"4523-019-073463"
"TOMATE VALENCIANO",3.69,0.902,3.33,"Verdura y Frutas","4523-019-073463"
"PLATANO",3.09,0.55,1.7,"Verdura y Frutas","4523-019-073463"
"MIEL DE FLORES DOSIF",3.1,NA,NA,NA,"4523-014-084320"
"MAYONESA PEQUEÑA",0.95,NA,NA,NA,"4523-014-084320"
"MANGO DESHIDRATADO                 ",1.35,NA,NA,NA,"4523-014-084320"
"MANGO DESHIDRATADO                 ",1.35,NA,NA,NA,"4523-014-084320"
"PIÑA DESHIDRATADA",1.25,NA,NA,NA,"4523-014-084320"
"BOLSA PLASTICO",0.15,NA,NA,NA,"4523-014-084320"
"MINI HELADOS",1.7,NA,NA,NA,"4523-014-084320"
"LCASEI FRESA X 12",2.35,NA,NA,NA,"4523-014-084320"
"CERVEZA TOSTADA P12",6.36,NA,NA,NA,"4523-014-084320"
"PANCETA",2.35,NA,NA,NA,"2502-010-552444"
"BACON",2.1,NA,NA,NA,"2502-010-552444"
"DESENGRASANTE PISTOL",3.7,NA,NA,NA,"2502-010-552444"
"12 HUEVOS SUPER GRAN",3.25,NA,NA,NA,"2502-010-552444"
"FUET ESPETEC EXTRA",2.57,NA,NA,NA,"2502-010-552444"
"PAN SEMILLAS                       ",1.6,NA,NA,NA,"2502-010-552444"
"PAN SEMILLAS                       ",1.6,NA,NA,NA,"2502-010-552444"
"GOUDA VIEJO",3.75,NA,NA,NA,"2502-010-552444"
"JAMÓN DE TERUEL                    ",3.55,NA,NA,NA,"2502-010-552444"
"JAMÓN DE TERUEL                    ",3.55,NA,NA,NA,"2502-010-552444"
"JAMÓN DE TERUEL                    ",3.55,NA,NA,NA,"2502-010-552444"
"QUESO ARZUA",7.15,NA,NA,NA,"2502-010-552444"
"BROTES TIERNOS",1.15,NA,NA,NA,"2502-010-552444"
"FILETE PECHUGA",4.8,NA,NA,NA,"2502-010-552444"
"RULO CABRA",3,NA,NA,NA,"2502-010-552444"
"QUESO ROQUEFORT                    ",1.75,NA,NA,NA,"2502-010-552444"
"QUESO ROQUEFORT                    ",1.75,NA,NA,NA,"2502-010-552444"
"Q AÑEJO PICANTE",5.06,NA,NA,NA,"2502-010-552444"
"Q CREMOSO",3.03,NA,NA,NA,"2502-010-552444"
"QUESO AÑEJO ROMERO",4.87,NA,NA,NA,"2502-010-552444"
"CANÓNIGOS",1.14,NA,NA,NA,"2502-010-552444"
"TOMATE ENSALADA",1.75,0.698,1.22,"Verdura y Frutas","2502-010-552444"
"PORCIONES 85% CACAO",3.2,NA,NA,NA,"3075-016-228718"
"ESCALOPIN SALMÓN",11.52,NA,NA,NA,"3075-016-228718"
"PIZZA JAMON/QUESO",3.4,NA,NA,NA,"3075-016-228718"
"TOM. RECETA ARTESANA",2.3,NA,NA,NA,"3075-016-228718"
"12 HUEVOS GRANDES-L",2.2,NA,NA,NA,"3075-016-228718"
"PORCIONES BACALAO",7.2,NA,NA,NA,"3075-016-228718"
"QUESO TRUFA",4.6,NA,NA,NA,"3075-016-228718"
"PAN TOST INT ESPELTA",1.65,NA,NA,NA,"3075-016-228718"
"CEREZA 1 KG",5.02,NA,NA,NA,"3075-016-228718"
"LECHE DESNAT. CALCIO",5.58,NA,NA,NA,"3075-016-228718"
"ACEITE VIRGEN EX",9.65,NA,NA,NA,"3075-016-228718"
"LECHE DESN S/LACT",0.88,NA,NA,NA,"3075-016-228718"
"TOMATE FRITO",0.85,NA,NA,NA,"3075-016-228718"
"VIRGEN EXTRA 500",7.85,NA,NA,NA,"3075-016-228718"
"LECHE SEMI CALCIO",0.96,NA,NA,NA,"3075-016-228718"
"ACT O% NAT ED 8",3.45,NA,NA,NA,"3075-016-228718"
"AGUACATE BANDEJA",2.81,NA,NA,NA,"3075-016-228718"
"QUESO RALLADO PIZZA",1.54,NA,NA,NA,"3075-016-228718"
"CALABAZA PARTIDA",1.36,NA,NA,NA,"3075-016-228718"
"QUESO FRESCO CABRA                 ",2.6,NA,NA,NA,"3075-016-228718"
"QUESO FRESCO CABRA                 ",2.6,NA,NA,NA,"3075-016-228718"
"QUESO LONCHAS CABRA",2.96,NA,NA,NA,"3075-016-228718"
"QUESO LONCHAS CABRA",2.57,NA,NA,NA,"3075-016-228718"
"MARIAS DORADAS",1.5,NA,NA,NA,"2502-022-840221"
"LECHE ENTERA                       ",0.91,NA,NA,NA,"2502-022-840221"
"LECHE ENTERA                       ",0.91,NA,NA,NA,"2502-022-840221"
"40 B.MINI PAPELERA",1.35,NA,NA,NA,"2502-022-840221"
"BOLSA BASURA COMPOST",1.75,NA,NA,NA,"2502-022-840221"
"PAÑUELOS 4 CAP 10X10",1.15,NA,NA,NA,"2502-022-840221"
"FRESA",3.12,NA,NA,NA,"2502-013-311645"
"MACARRON",1.3,NA,NA,NA,"2502-013-311645"
"YOGUR COCO",1,NA,NA,NA,"2502-013-311645"
"YOGUR NATURAL",2,NA,NA,NA,"2502-013-311645"
"SALMOREJO FRESCO",3.15,NA,NA,NA,"2502-013-311645"
"PIZZA ATUN/BACON PAC",2.9,NA,NA,NA,"2502-013-311645"
"PIZZAS JAMON+QUESO P",2.9,NA,NA,NA,"2502-013-311645"
"ATUN CLARO OLIVA                   ",1.6,NA,NA,NA,"2502-013-311645"
"ATUN CLARO OLIVA                   ",1.6,NA,NA,NA,"2502-013-311645"
"ATUN CLARO OLIVA                   ",1.6,NA,NA,NA,"2502-013-311645"
"ATUN CLARO OLIVA                   ",1.6,NA,NA,NA,"2502-013-311645"
"CANÓNIGOS",1.14,NA,NA,NA,"2502-013-311645"
"COLIFLOR",1.99,0.894,1.78,"Verdura y Frutas","2502-013-311645"
"BERENJENA",1.89,0.742,1.4,"Verdura y Frutas","2502-013-311645"
"FUET ESPETEC EXTRA",2.57,NA,NA,NA,"4523-010-245047"
"ANITINES TOM/OREGANO",0.9,NA,NA,NA,"4523-010-245047"
"LONGANIZA PASCUA",2.43,NA,NA,NA,"4523-010-245047"
"MANGO DESHIDRATADO                 ",1.35,NA,NA,NA,"4523-010-245047"
"MANGO DESHIDRATADO                 ",1.35,NA,NA,NA,"4523-010-245047"
"GALLETITAS SALADAS",1.3,NA,NA,NA,"4523-010-245047"
"PASTEL CREMA 65%                   ",0.4,NA,NA,NA,"4523-010-245047"
"PASTEL CREMA 65%                   ",0.4,NA,NA,NA,"4523-010-245047"
"CROISSANT MANTEQ.26%",0.4,NA,NA,NA,"4523-010-245047"
"BOLSAS ZIP 5L",1.35,NA,NA,NA,"4523-010-245047"
"CEPILLO INFANTIL",0.9,NA,NA,NA,"4523-010-245047"
"CONOS",0.75,NA,NA,NA,"4523-010-245047"
"REPELENTE FUERTE",2.75,NA,NA,NA,"4523-010-245047"
"ALCAPARRAS",1.3,NA,NA,NA,"4523-010-245047"
"KIT HIGIENE BUCAL",2.2,NA,NA,NA,"4523-010-245047"
"ALIVIO PICOR                       ",3.5,NA,NA,NA,"4523-010-245047"
"ALIVIO PICOR                       ",3.5,NA,NA,NA,"4523-010-245047"
"C. TOSTADA P12 LATAS",9.6,NA,NA,NA,"4523-010-245047"
"BOLSA PLASTICO",0.15,NA,NA,NA,"4523-010-245047"
"MÁSCARA 24H",4,NA,NA,NA,"2502-014-118150"
"HIGIENICO DOBLE ROLL",4.6,NA,NA,NA,"2502-014-118150"
"BACON",2.1,NA,NA,NA,"2502-015-076326"
"PAN SEMILLAS",1.6,NA,NA,NA,"2502-015-076326"
"YOGUR MACEDONIA",1,NA,NA,NA,"2502-015-076326"
"YOGUR GALLETA 480GR",1,NA,NA,NA,"2502-015-076326"
"CANÓNIGOS                          ",1.14,NA,NA,NA,"2502-015-076326"
"CANÓNIGOS                          ",1.14,NA,NA,NA,"2502-015-076326"
"FILETES LOMO",3.62,NA,NA,NA,"2502-015-076326"
"FILETE PECHUGA",4.26,NA,NA,NA,"2502-015-076326"
"NATA PARA COCINAR",1.75,NA,NA,NA,"2502-015-076326"
"ATUN CLARO OLIVA                   ",1.6,NA,NA,NA,"2502-015-076326"
"ATUN CLARO OLIVA                   ",1.6,NA,NA,NA,"2502-015-076326"
"ATUN CLARO OLIVA                   ",1.6,NA,NA,NA,"2502-015-076326"
"UVA BLANCA S/SEM",2.08,NA,NA,NA,"2502-015-076326"
"CHAMPIÑON BANDEJA P",1.29,NA,NA,NA,"2502-015-076326"
"MAIZ DULCE P-3",1.25,NA,NA,NA,"2502-015-076326"
"ESP VERDE FINO",2.39,NA,NA,NA,"2502-015-076326"
"PLATANO",3.09,1.04,3.21,"Verdura y Frutas","2502-015-076326"
"BERENJENA",1.89,0.968,1.83,"Verdura y Frutas","2502-015-076326"
"PAN DE ESPIGA",1,NA,NA,NA,"3075-011-861551"
"PAN DE PUEBLO",1.6,NA,NA,NA,"3075-011-861551"
"CABALLA FT OLIVA BPK",2.1,NA,NA,NA,"3075-011-861551"
"SARDINILLAS PICANTES",1.65,NA,NA,NA,"3075-011-861551"
"ATÚN CLARO OLIVA PK6",5.25,NA,NA,NA,"3075-011-861551"
"GRIEGO NATURAL P-6",1.6,NA,NA,NA,"3075-011-861551"
"MOLINILLO PTA. NEGRA",1.65,NA,NA,NA,"3075-011-861551"
"LECHE DESN S/LACT",0.88,NA,NA,NA,"3075-011-861551"
"ANTICAL PISTOLA",1.6,NA,NA,NA,"3075-011-861551"
"LCASEI FRESA X 12",2.35,NA,NA,NA,"4523-019-075372"
"JAMÓN COCIDO 92%",2.41,NA,NA,NA,"4523-019-075372"
"SALCHICHON 4 PACK",2.27,NA,NA,NA,"4523-019-075372"
"JAMÓN SERRANO 1/2 L.",4.15,NA,NA,NA,"4523-019-075372"
"DETE LIQ ROPA OSCURA",4.2,NA,NA,NA,"4523-019-075372"
"UVA BLANCA S/SEM",2.04,NA,NA,NA,"4523-019-075372"
"REFILL DERMO",1.5,NA,NA,NA,"4523-019-075372"
"CERV PACK 12",7.32,NA,NA,NA,"4523-019-075372"
"FRESA",3.31,NA,NA,NA,"4523-019-075372"
"CHAMPÚ COLOR VIVE",3.3,NA,NA,NA,"4523-019-075372"
"ROLLO HOGAR DOBLE",2.25,NA,NA,NA,"4523-019-075372"
"LOTE BAYETAS SUAVES",1.2,NA,NA,NA,"4523-019-075372"
"DET LIQ MARSELLA",3.3,NA,NA,NA,"4523-019-075372"
"LENTEJA COCIDA",0.8,NA,NA,NA,"4523-019-075372"
"VINO VERDEJO",3.8,NA,NA,NA,"4523-019-075372"
"TOM. RECETA ARTESANA",2.3,NA,NA,NA,"4523-019-075372"
"PAN ESPELTA INTEGRAL",1.4,NA,NA,NA,"4523-019-075372"
"PEPINILLOS .VINAGRE",1.95,NA,NA,NA,"4523-019-075372"
"ACEITUNA ANCHOA PEQ",1.5,NA,NA,NA,"4523-019-075372"
"ANCHOAS A.GIRASOL P3",2.1,NA,NA,NA,"4523-019-075372"
"LONGANIZA PASCUA",2.43,NA,NA,NA,"4523-019-075372"
"VARITAS DIF JASMINE",2.15,NA,NA,NA,"4523-019-075372"
"PATATA CHURRERÍA",1.05,NA,NA,NA,"4523-019-075372"
"QUESO GORGONZOLA",2.42,NA,NA,NA,"4523-019-075372"
"MINI EMP PISTO P6",1.7,NA,NA,NA,"4523-019-075372"
"PANECILLO 11 UDS",1.1,NA,NA,NA,"4523-019-075372"
"PERLAS MOZZARELLA",1.85,NA,NA,NA,"4523-019-075372"
"LENGUADO FRESC EUROP",24.95,0.262,6.54,"Pescado","4523-019-075372"
"PATATA",1.99,0.782,1.56,"Verdura y Frutas","4523-019-075372"
"CEREZA 1 KG",5.68,NA,NA,NA,"2457-017-538428"
"JUDÍA PLANA 750 GR",2.79,NA,NA,NA,"2457-017-538428"
"SNACK PIPAS                           ",1.35,NA,NA,NA,"2457-017-538428"
"SNACK PIPAS                           ",1.35,NA,NA,NA,"2457-017-538428"
"PAN DE LECHE 3 %",1.6,NA,NA,NA,"2457-017-538428"
"CABALLA FT OLIVA BPK",2.1,NA,NA,NA,"2457-017-538428"
"3 VEGETALES",1.64,NA,NA,NA,"2457-017-538428"
"ZANAHORIA BOLSA",1.09,NA,NA,NA,"2457-017-538428"
"MINI BOMBÓN BISCUIT                   ",3.2,NA,NA,NA,"2457-017-538428"
"MINI BOMBÓN BISCUIT                   ",3.2,NA,NA,NA,"2457-017-538428"
"MINI BOMBÓN BISCUIT                   ",3.2,NA,NA,NA,"2457-017-538428"
"LECHE SEMI                            ",0.83,NA,NA,NA,"2457-017-538428"
"LECHE SEMI                            ",0.83,NA,NA,NA,"2457-017-538428"
"LECHE SEMI                            ",0.83,NA,NA,NA,"2457-017-538428"
"LECHE SEMI                            ",0.83,NA,NA,NA,"2457-017-538428"
"QUESO LONCHAS CABRA",2.89,NA,NA,NA,"2457-017-538428"
"QUESO LONCHAS CABRA",2.89,NA,NA,NA,"2457-017-538428"
"ARROZ BASMATI",2.44,NA,NA,NA,"2457-017-538428"
"COCKTAIL TOST. S/SAL",2.5,NA,NA,NA,"2457-017-538428"
"CACAHUETE FRITO                       ",1.3,NA,NA,NA,"2457-017-538428"
"CACAHUETE FRITO                       ",1.3,NA,NA,NA,"2457-017-538428"
"POLLO CERTIFICADO E",7.28,NA,NA,NA,"2457-017-538428"
"PAN DE PUEBLO",1.6,NA,NA,NA,"2457-017-538428"
"NARANJA                               ",0.66,NA,NA,NA,"2457-017-538428"
"NARANJA                               ",0.66,NA,NA,NA,"2457-017-538428"
"NARANJA                               ",0.66,NA,NA,NA,"2457-017-538428"
"NARANJA                               ",0.66,NA,NA,NA,"2457-017-538428"
"SNACK CHOCOLATE",1.35,NA,NA,NA,"2457-017-538428"
"LECHE DESN S/LACT",5.28,NA,NA,NA,"2457-017-538428"
"LECHE DESNAT. CALCIO",5.58,NA,NA,NA,"2457-017-538428"
"ACEITE VIRGEN EX",9.19,NA,NA,NA,"2457-017-538428"
"DENTIF PRO EXPERT",3.2,NA,NA,NA,"2457-017-538428"
"LENTEJA COCIDA",0.8,NA,NA,NA,"2457-017-538428"
"CORAZONES ROMANA",1.55,NA,NA,NA,"2457-017-538428"
"PORCIONES BACALAO                     ",7.2,NA,NA,NA,"2457-017-538428"
"PORCIONES BACALAO                     ",7.2,NA,NA,NA,"2457-017-538428"
"PATATAS EXTRACRUNCH                   ",1.3,NA,NA,NA,"2457-017-538428"
"PATATAS EXTRACRUNCH                   ",1.3,NA,NA,NA,"2457-017-538428"
"VIRGEN EXTRA 500",7.48,NA,NA,NA,"2457-017-538428"
"QUESO EMMENTAL TACO",2.85,NA,NA,NA,"2457-017-538428"
"ACEITUNA R/ANCHOA P3                  ",3,NA,NA,NA,"2457-017-538428"
"ACEITUNA R/ANCHOA P3                  ",3,NA,NA,NA,"2457-017-538428"
"QUESO RALLADO POLVO",1.6,NA,NA,NA,"2457-017-538428"
"ATÚN CLARO OLIVA PK6",5.15,NA,NA,NA,"2457-017-538428"
"ICE TEA MELOCOTÓN 0",0.9,NA,NA,NA,"2457-017-538428"
"AGUA BRONCHALES",0.27,NA,NA,NA,"2457-017-538428"
"ESCALOPIN SALMON",9.13,NA,NA,NA,"2457-017-538428"
"ALCAPARRAS",1.3,NA,NA,NA,"2457-017-538428"
"PEPINILLO AG PEQUEÑO",1.65,NA,NA,NA,"2457-017-538428"
"GALL.MARIA INTEGRAL-",1.5,NA,NA,NA,"2457-017-538428"
"ALLIOLI TARRINA",1.35,NA,NA,NA,"2457-017-538428"
"BOLSAS.G CONGELADO",1.1,NA,NA,NA,"2457-017-538428"
"40 B. CONG. MEDIANAS",0.85,NA,NA,NA,"2457-017-538428"
"QUESO CABRA MEDALLON",3.32,NA,NA,NA,"2457-017-538428"
"TE SOLUBLE LIMON",1.5,NA,NA,NA,"2457-017-538428"
"PAVO TACOS",5.16,NA,NA,NA,"2457-017-538428"
"12 HUEVOS GRANDES -L",2.2,NA,NA,NA,"2457-017-538428"
"TOM. RECETA ARTESANA",2.2,NA,NA,NA,"2457-017-538428"
"CACAHUETE DESGRASADO",2.75,NA,NA,NA,"2457-017-538428"
"DIGESTIVE 0%",1.4,NA,NA,NA,"2457-017-538428"
"DEO SPRAY INV.HOMBRE",2.95,NA,NA,NA,"2457-017-538428"
"DEO DOVE SPRAY",3.55,NA,NA,NA,"2457-017-538428"
"FIDEO AL HUEVO",1.35,NA,NA,NA,"2457-017-538428"
"BANDERILLAS DULCES",1.6,NA,NA,NA,"2457-017-538428"
"SPAGHETTI AL HUEVO",1.35,NA,NA,NA,"2457-017-538428"
"BANANA",1.45,1.014,1.47,"Verdura y Frutas","2457-017-538428"
"SANDIA BAJA SEMILLAS",0.89,5.118,4.56,"Verdura y Frutas","2457-017-538428"
"MELON PIEL SAPO",1.09,4.066,4.43,"Verdura y Frutas","2457-017-538428"
"CALABACIN VERDE",1.55,1.006,1.56,"Verdura y Frutas","2457-017-538428"
"TOMATE PERA",1.89,0.944,1.78,"Verdura y Frutas","2457-017-538428"
"SANDIA BAJA SEMILLAS",0.89,4.44,3.95,"Verdura y Frutas","2457-017-538428"
"PAN TOSTADO PASAS",1.2,NA,NA,NA,"2457-016-481518"
"GEL CREAM MATIFICA",6,NA,NA,NA,"2457-016-481518"
"BARRA CAMPESINA",0.6,NA,NA,NA,"2457-016-481518"
"PAN VIENA                          ",0.4,NA,NA,NA,"2457-016-481518"
"PAN VIENA                          ",0.4,NA,NA,NA,"2457-016-481518"
"HAMB VACA MADURADA                 ",2.6,NA,NA,NA,"2457-016-481518"
"HAMB VACA MADURADA                 ",2.6,NA,NA,NA,"2457-016-481518"
"FILETE PECHUGA CERT",3.84,NA,NA,NA,"2457-016-481518"
"CEREZA 1 KG",4.74,NA,NA,NA,"2457-016-481518"
"CEREZA 1 KG",5.29,NA,NA,NA,"2457-016-481518"
"PATATA ROJA",3.65,NA,NA,NA,"2502-015-080638"
"12 HUEVOS SUPER GRAN",3.25,NA,NA,NA,"2502-015-080638"
"YOGUR COCO",1,NA,NA,NA,"2502-015-080638"
"ACEITE VIRGEN",8.52,NA,NA,NA,"2502-015-080638"
"UVA BLANCA S/SEM",2.09,NA,NA,NA,"2502-015-080638"
"JAMÓN DE TERUEL                    ",3.55,NA,NA,NA,"2502-015-080638"
"JAMÓN DE TERUEL                    ",3.55,NA,NA,NA,"2502-015-080638"
"PAN SEMILLAS",1.6,NA,NA,NA,"2502-015-080638"
"FRESA",2.55,NA,NA,NA,"2502-015-080638"
"YOGUR NATURAL",2,NA,NA,NA,"2502-015-080638"
"CANÓNIGOS",1.14,NA,NA,NA,"2502-015-080638"
"BERENJENA",1.89,0.814,1.54,"Verdura y Frutas","2502-015-080638"
"PLATANO",3.09,1.288,3.98,"Verdura y Frutas","2502-015-080638"
"ANCHOA OLIVA PACK-3",2.95,NA,NA,NA,"2502-010-562900"
"ATUN CLARO OLIVA                   ",1.6,NA,NA,NA,"2502-010-562900"
"ATUN CLARO OLIVA                   ",1.6,NA,NA,NA,"2502-010-562900"
"ATUN CLARO OLIVA                   ",1.6,NA,NA,NA,"2502-010-562900"
"FRESA",2.96,NA,NA,NA,"2502-010-562900"
"YOGUR NATURAL",2,NA,NA,NA,"2502-010-562900"
"QUESO TETILLA",6.6,NA,NA,NA,"2502-010-562900"
"QUESO ARZUA",7.26,NA,NA,NA,"2502-010-562900"
"MAYONESA HELLMANN?S",2.95,NA,NA,NA,"2502-010-562900"
"FILETE MERLUZA CABO",5.1,NA,NA,NA,"2502-010-562900"
"ENSALADILLA",1.3,NA,NA,NA,"2502-010-562900"
"DELICIAS DE POLLO",3.6,NA,NA,NA,"2502-010-562900"
"ESP VERDE FINO",2.39,NA,NA,NA,"2502-010-562900"
"PAN SEMILLAS                       ",1.6,NA,NA,NA,"2502-010-562900"
"PAN SEMILLAS                       ",1.6,NA,NA,NA,"2502-010-562900"
"YOGUR NATURAL",2,NA,NA,NA,"2502-023-219215"
